offerId,优化前,第二轮前,当前,状态,原因,名称
jz-43c4a1-3989854024,24,63,75,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|PICTURE_COUNT|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Сменный фильтр для очистителя воздуха 20В06 20S06  композитный
jz-74no4j-4373210704,25,62,78,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Зеркало заднего вида салонное универсальное  арт. WG137  ABS пластик  черный
jz-2608156czu-5434366857,26,69,77,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|PICTURE_COUNT|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Биpки рождественские для подарков на елку 100 шт разноцветные
jz-2nf96y-3985003257,28,46,74,ACTUAL,ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Рюкзак школьный для девочки  жёлтый  средний  20-30 л
GYS-fq6f2z-4615699926,31,31,31,UPDATING,MAIN|ADDITIONAL|FILTERABLE|PICTURE_COUNT|FIRST_PICTURE_SIZE|TITLE_LENGTH|DESCRIPTION_LENGTH|AVERAGE_PICTURE_SIZE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Игровой скричер Tiger с трансформацией  100 г
jz-260803cn42-5219380044,31,69,79,ACTUAL,ADDITIONAL|FILTERABLE|PICTURE_COUNT|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Заколка для волос JZ-MSCPCVR5 с бантом и звездами  черная  бархатная
jz-bl4yse-4510686580,31,56,66,ACTUAL,MAIN|ADDITIONAL|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Стикер для футбольной коллекции 1 шт.  серый
LZ-5wxmmp-5131474742,31,69,77,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Микропереключатель S800e концевой выключатель мгновенного действия  380 В  IP40
GYS-fq6f2z-4615873227,32,32,32,UPDATING,MAIN|ADDITIONAL|FILTERABLE|PICTURE_COUNT|FIRST_PICTURE_SIZE|TITLE_LENGTH|DESCRIPTION_LENGTH|AVERAGE_PICTURE_SIZE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Скричер Лайтнинг Райно L3  золотой
LZ01-3153456655,32,55,55,ACTUAL,ADDITIONAL|FILTERABLE|PICTURE_COUNT|FIRST_PICTURE_SIZE|TITLE_LENGTH|AVERAGE_PICTURE_SIZE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,
GYS-fq6f2z-4553124196,33,33,33,UPDATING,MAIN|ADDITIONAL|FILTERABLE|PICTURE_COUNT|FIRST_PICTURE_SIZE|TITLE_LENGTH|DESCRIPTION_LENGTH|AVERAGE_PICTURE_SIZE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Скричеры Машинка-трансформер Шаркоид A4 бирюзовый
jz-5iiqgn-3879357364,33,61,72,ACTUAL,ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Ножевой блок стандарт А5 5F 6 3 мм
LZ-5wxmmp-4932050925,33,53,72,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Медаль сувенирная «За оборону Сталинграда»  копия времен СССР  металл
GYS-fq6f2z-3659202919,34,58,65,ACTUAL,MAIN|ADDITIONAL|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Волчки Сплит Owl и Orochi с пусковым устройством  2 шт
GYS-fq6f2z-4553677981,34,34,34,UPDATING,MAIN|ADDITIONAL|FILTERABLE|PICTURE_COUNT|FIRST_PICTURE_SIZE|TITLE_LENGTH|DESCRIPTION_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Скричер Eagle A4 кораллового цвета
LZ01-3153456655,32,55,55,ACTUAL,ADDITIONAL|FILTERABLE|PICTURE_COUNT|FIRST_PICTURE_SIZE|TITLE_LENGTH|AVERAGE_PICTURE_SIZE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Форсунка масляная 28231014 / 1100100ED01  1 шт.
LZ-f2484t-5258063832,34,34,34,UPDATING,MAIN|ADDITIONAL|FILTERABLE|FIRST_PICTURE_SIZE|TITLE_LENGTH|DESCRIPTION_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Электронный датчик педали акселератора GFS004V-D / GFS004N-D  для велосипеда
GYS260908v69a-5090920443,35,60,73,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Салатник эмалированный жёлтый  набор 3 шт  круглый
jz-74no4j-3561354696,35,73,67,ACTUAL,MAIN|ADDITIONAL|PICTURE_COUNT|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Набор граффити-сумок с маркерами 30 шт для рисования на ткани
jz-ydp9z9-3416299746,35,35,39,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|DESCRIPTION_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,
LZ-3515392694,35,62,69,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,ТЭН для дистиллятора 2500 Вт  220 В  нержавеющая сталь
LZ01-3797802382,35,66,76,ACTUAL,ADDITIONAL|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Запчасть бардачка 0389537  передняя  Китай
GYS-fq6f2z-4552954169,36,36,36,UPDATING,MAIN|ADDITIONAL|FILTERABLE|PICTURE_COUNT|FIRST_PICTURE_SIZE|TITLE_LENGTH|DESCRIPTION_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Скричер Трансформер Screechers Wild Ла Ва A4 бордовый
GYS-fq6f2z-4553759892,36,36,36,UPDATING,MAIN|ADDITIONAL|FILTERABLE|PICTURE_COUNT|FIRST_PICTURE_SIZE|TITLE_LENGTH|DESCRIPTION_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Скричер Rhino с трансформацией без диска  темно-серый
GYS-fq6f2z-4553799505,36,36,36,UPDATING,MAIN|ADDITIONAL|FILTERABLE|PICTURE_COUNT|FIRST_PICTURE_SIZE|TITLE_LENGTH|DESCRIPTION_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Скричер Трансформер Frozen Snow A4 белый
jz-dh3dbz-4007177956,36,64,64,ACTUAL,MAIN|ADDITIONAL|PICTURE_COUNT|FIRST_PICTURE_SIZE|TITLE_LENGTH|AVERAGE_PICTURE_SIZE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Маракас детский деревянный JZ-MQS837VD  голубой
jz-wfvstx-2842818026,36,71,75,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|PICTURE_COUNT|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Мешки-пылесборники для робота-пылесоса Roborock Qrevo и S8  10 шт
LZ-5wxmmp-4901190632,36,64,74,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Плюшевая игрушка Fuggler Funny Ugly Monster Budgie Edition 23 см
3211609218-Wlxa,37,64,74,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Вентилятор Deasonstone DSB5015 S 12В 0.06А 2800 об/мин для воздуходувки и увлажнителя
GYS-8jlgyl-3939969235,37,73,76,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Датчик давления в шинах TPMSTS02  4 шт.  433/315 МГц  программируемый
GYS-fq6f2z-4553961667,37,37,37,UPDATING,MAIN|ADDITIONAL|FILTERABLE|PICTURE_COUNT|FIRST_PICTURE_SIZE|TITLE_LENGTH|DESCRIPTION_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Скричер Трансформер Джайнт Рок A4 голубой
GYS-fq6f2z-4616292549,37,37,37,UPDATING,MAIN|ADDITIONAL|FILTERABLE|FIRST_PICTURE_SIZE|TITLE_LENGTH|DESCRIPTION_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Скричер Трансформер Спаркбаг A4 желтый
jz-v6j4ej-4846465363,37,68,68,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Задний амортизатор для электросамоката G-Booster
jz-wfvstx-5144854901,37,69,72,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Мешки для пыли для робота-пылесоса Roborock Qrevo L  8 шт.
LZ01-3415413161,37,59,62,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Набор для выращивания игрушки кицунэ 33 см  светло-розовый
LZ01-3521599428,37,64,68,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Автомобильный сейф BWpletVu для Audi Q3/RS Q3 2013-2018
GYS-vhijp3-4742394697,38,62,74,ACTUAL,ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Стакан для ванной 100 мл стекло прозрачный отдельно стоящий
jz-260728cs42-4799306061,38,70,70,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Инфинити Надо. Волчок и меч Трайб Стандарт Royal Flying Dragon
jz-260811hiq7-2670742773,38,73,79,ACTUAL,ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Набор запасных частей для робота-пылесоса Roborock Qrevo Curv  2 шт
jz-260811hiq7-2670742802,38,72,78,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Набор запасных частей для робота-пылесоса Roborock Qrevo Curv  20 шт.
jz-mn9jc2-2438830396,38,58,58,ACTUAL,MAIN|ADDITIONAL|FILTERABLE|TITLE_LENGTH|FIRST_VIDEO_SIZE|FIRST_VIDEO_LENGTH|AVERAGE_VIDEO_SIZE|VIDEO_COUNT,Волчок Эпик Лончер Сплит Double Dragon-ZZ
