offerId,name,now,cardStatus
jz-43c4a1-3989854024,,63,HAS_CARD_CAN_UPDATE
jz-74no4j-4373210704,,62,HAS_CARD_CAN_UPDATE
jz-2608156czu-5434366857,,69,HAS_CARD_CAN_UPDATE
jz-74no4j-4209730086,,66,HAS_CARD_CAN_UPDATE
jz-2nf96y-3985003257,,46,HAS_CARD_CAN_UPDATE
GYS-fq6f2z-4615699926,,31,HAS_CARD_CAN_UPDATE_PROCESSING
jz-260803cn42-5219380044,,69,HAS_CARD_CAN_UPDATE_ERRORS
jz-bl4yse-4510686580,,56,HAS_CARD_CAN_UPDATE
LZ-5wxmmp-5131474742,,69,HAS_CARD_CAN_UPDATE
GYS-fq6f2z-4615873227,,32,HAS_CARD_CAN_UPDATE_PROCESSING
LZ01-3153456655,,55,HAS_CARD_CAN_UPDATE
GYS-fq6f2z-4553124196,,33,HAS_CARD_CAN_UPDATE_PROCESSING
jz-5iiqgn-3879357364,,61,HAS_CARD_CAN_UPDATE
jz-v6j4ej-4892018892,,79,HAS_CARD_CAN_UPDATE
LZ-5wxmmp-4797066763,,68,HAS_CARD_CAN_UPDATE
LZ-5wxmmp-4932050925,,53,HAS_CARD_CAN_UPDATE
LZ01-3700237250,,72,HAS_CARD_CAN_UPDATE
GYS-fq6f2z-3659202919,,58,HAS_CARD_CAN_UPDATE
GYS-fq6f2z-4553677981,,34,HAS_CARD_CAN_UPDATE_PROCESSING
jz-260811hiq7-2670822183,,71,HAS_CARD_CAN_UPDATE_ERRORS
LZ-f2484t-5258063832,,34,HAS_CARD_CAN_UPDATE_PROCESSING
2964996732-Yg2K,,75,HAS_CARD_CAN_UPDATE
GYS260908v69a-5090920443,,60,HAS_CARD_CAN_UPDATE
jz-2nf96y-4687001659,,67,HAS_CARD_CAN_UPDATE
jz-74no4j-3561354696,,73,HAS_CARD_CAN_UPDATE
jz-ydp9z9-3416299746,,35,HAS_CARD_CAN_UPDATE
LZ-3515392694,,62,HAS_CARD_CAN_UPDATE
LZ01-3797802382,,66,HAS_CARD_CAN_UPDATE
GYS-fq6f2z-4552954169,,36,HAS_CARD_CAN_UPDATE_PROCESSING
GYS-fq6f2z-4553759892,,36,HAS_CARD_CAN_UPDATE_PROCESSING
GYS-fq6f2z-4553799505,,36,HAS_CARD_CAN_UPDATE_PROCESSING
jz-dh3dbz-4007177956,,64,HAS_CARD_CAN_UPDATE
LZ-5wxmmp-4901190632,,64,HAS_CARD_CAN_UPDATE
YCXP-l342yy-3585904163,,79,HAS_CARD_CAN_UPDATE
3149800169-B17G,,78,HAS_CARD_CAN_UPDATE
3211609218-Wlxa,,64,HAS_CARD_CAN_UPDATE
GYS-8jlgyl-3939969235,,73,HAS_CARD_CAN_UPDATE
GYS-fq6f2z-4553961667,,37,HAS_CARD_CAN_UPDATE_PROCESSING
GYS-fq6f2z-4616292549,,37,HAS_CARD_CAN_UPDATE_PROCESSING
GYS-vhijp3-5099888679,,73,HAS_CARD_CAN_UPDATE
GYS-vhijp3-5099889862,,72,HAS_CARD_CAN_UPDATE
jz-74no4j-2087335319,,74,HAS_CARD_CAN_UPDATE
jz-v6j4ej-4846465363,,68,HAS_CARD_CAN_UPDATE
LZ01-3415413161,,59,HAS_CARD_CAN_UPDATE
LZ01-3521599428,,64,HAS_CARD_CAN_UPDATE
2116206499-jOkn,,79,HAS_CARD_CAN_UPDATE
GYS-vhijp3-4742394697,,62,HAS_CARD_CAN_UPDATE
jz-260728cs42-4799306061,,70,HAS_CARD_CAN_UPDATE_ERRORS
jz-260811hiq7-2670742764,,75,HAS_CARD_CAN_UPDATE_ERRORS
jz-260811hiq7-2670742773,,73,HAS_CARD_CAN_UPDATE_ERRORS
jz-260811hiq7-2670742802,,72,HAS_CARD_CAN_UPDATE_ERRORS
jz-260811hiq7-2670742898,,75,HAS_CARD_CAN_UPDATE_ERRORS
jz-260811hiq7-2670743136,,75,HAS_CARD_CAN_UPDATE_ERRORS
jz-260811hiq7-2670743549,,75,HAS_CARD_CAN_UPDATE_ERRORS
jz-260811hiq7-2670743683,,77,HAS_CARD_CAN_UPDATE_ERRORS
jz-260811hiq7-2670744596,,75,HAS_CARD_CAN_UPDATE_ERRORS
jz-260811hiq7-2670746114,,75,HAS_CARD_CAN_UPDATE_ERRORS
jz-260811hiq7-2670749886,,77,HAS_CARD_CAN_UPDATE_ERRORS
jz-260811hiq7-2670750638,,75,HAS_CARD_CAN_UPDATE_ERRORS
jz-260811hiq7-3711915302,,77,HAS_CARD_CAN_UPDATE_ERRORS
jz-260811hiq7-3711915587,,77,HAS_CARD_CAN_UPDATE_ERRORS
jz-mn9jc2-2438830396,,58,HAS_CARD_CAN_UPDATE
jz-ra4xyb-4315952972,,71,HAS_CARD_CAN_UPDATE
YCXP-l342yy-3119072834,,38,HAS_CARD_CAN_UPDATE_PROCESSING
GYS-fq6f2z-3057483785,,39,HAS_CARD_CAN_UPDATE
GYS-fq6f2z-3057497027,,39,HAS_CARD_CAN_UPDATE_PROCESSING
GYS-fq6f2z-3057497549,,39,HAS_CARD_CAN_UPDATE_PROCESSING
GYS-fq6f2z-4615620705,,39,HAS_CARD_CAN_UPDATE_PROCESSING
GYS2608211hfp-5427175729,,65,HAS_CARD_CAN_UPDATE
GYS260908v69a-5090922931,,74,HAS_CARD_CAN_UPDATE
jz-63ha0a-3582585986,,39,HAS_CARD_CAN_UPDATE_PROCESSING
jz-93mo1m-4998741619,,59,HAS_CARD_CAN_UPDATE
jz-93mo1m-4999648072,,76,HAS_CARD_CAN_UPDATE
jz-ydp9z9-2266770360,,69,HAS_CARD_CAN_UPDATE
LZ-00mkoz-3585904163,,39,HAS_CARD_CAN_UPDATE_PROCESSING
LZ-puuvyc-5155741591,,78,HAS_CARD_CAN_UPDATE
MzQwMzc-3VPSSIJ3,,71,HAS_CARD_CAN_UPDATE
B20260512-002-0005R,,79,HAS_CARD_CAN_UPDATE
GYS-fq6f2z-4616737293,,40,HAS_CARD_CAN_UPDATE_PROCESSING
jz-74no4j-3399738004,,72,HAS_CARD_CAN_UPDATE
jz-74no4j-4284339946,,67,HAS_CARD_CAN_UPDATE
jz-bmwrkz-4900040541,,76,HAS_CARD_CAN_UPDATE
jz-ydp9z9-3644543740,,78,HAS_CARD_CAN_UPDATE
LZ01-3699596285,,75,HAS_CARD_CAN_UPDATE
3006371732-OPvT,,66,HAS_CARD_CAN_UPDATE
GYS-1574237539,,45,HAS_CARD_CAN_UPDATE
GYS-fq6f2z-1679789419,,41,HAS_CARD_CAN_UPDATE_PROCESSING
GYS-fq6f2z-1973054001,,41,HAS_CARD_CAN_UPDATE_PROCESSING
GYS-fq6f2z-4276370160,,63,HAS_CARD_CAN_UPDATE_ERRORS
GYS-pun1uz-3960169151,,78,HAS_CARD_CAN_UPDATE
GYS-pun1uz-4291750077,,72,HAS_CARD_CAN_UPDATE
GYS260905hopl-147834448,,72,HAS_CARD_CAN_UPDATE
GYS260905hopl-3457277279,,75,HAS_CARD_CAN_UPDATE_ERRORS
GYS260905hopl-3457312229,,75,HAS_CARD_CAN_UPDATE_ERRORS
GYS260905hopl-3457369788,,75,HAS_CARD_CAN_UPDATE_ERRORS
jz-260713l1mj-1121586055,,74,HAS_CARD_CAN_UPDATE
jz-260728cs42-4799290710,,75,HAS_CARD_CAN_UPDATE
jz-mn9jc2-3372213365,,75,HAS_CARD_CAN_UPDATE
jz-mn9jc2-3457312229,,64,HAS_CARD_CAN_UPDATE
jz-mn9jc2-3457369788,,75,HAS_CARD_CAN_UPDATE
jz-mn9jc2-4456201523,,57,HAS_CARD_CAN_UPDATE
jz-r0nm0c-4780054501,,64,HAS_CARD_CAN_UPDATE
jz-tar3ab-4450020083,,75,HAS_CARD_CAN_UPDATE_ERRORS
jz-wfvstx-4737624802,,47,HAS_CARD_CAN_UPDATE_ERRORS
LZ-5wxmmp-5077951478,,64,HAS_CARD_CAN_UPDATE
LZ01-2435533049,,72,HAS_CARD_CAN_UPDATE
SF2608248fhz-4231125310,,61,HAS_CARD_CAN_UPDATE_ERRORS
ZS01-3965794383,,76,HAS_CARD_CAN_UPDATE
2903676250-0z9Y,,67,HAS_CARD_CAN_UPDATE
3204821209-b98Z,,79,HAS_CARD_CAN_UPDATE
GYS-8jlgyl-3123585702,,42,HAS_CARD_CAN_UPDATE
GYS-fq6f2z-4276369963,,42,HAS_CARD_CAN_UPDATE_PROCESSING
GYS-fq6f2z-4276370731,,42,HAS_CARD_CAN_UPDATE_PROCESSING
GYS-fq6f2z-4276373036,,64,HAS_CARD_CAN_UPDATE_ERRORS
GYS-fq6f2z-4553718890,,42,HAS_CARD_CAN_UPDATE_PROCESSING
GYS-pun1uz-3528556980,,69,HAS_CARD_CAN_UPDATE
GYS-pun1uz-4653223595,,71,HAS_CARD_CAN_UPDATE
GYS-vhijp3-4100718199,,63,HAS_CARD_CAN_UPDATE
GYS-vhijp3-5098696405,,64,HAS_CARD_CAN_UPDATE_ERRORS
GYS-vhijp3-5098697255,,59,HAS_CARD_CAN_UPDATE_ERRORS
jz-260811hiq7-3494718480,,79,HAS_CARD_CAN_UPDATE_ERRORS
jz-260816bapr-2451803868,,42,HAS_CARD_CAN_UPDATE
jz-2rqa92-4583278101,,77,HAS_CARD_CAN_UPDATE
jz-43c4a1-3778788360,,72,HAS_CARD_CAN_UPDATE
jz-8q6voe-487884946,,72,HAS_CARD_CAN_UPDATE
jz-mn9jc2-1140347481,,68,HAS_CARD_CAN_UPDATE_ERRORS
jz-mn9jc2-2345419912,,71,HAS_CARD_CAN_UPDATE
jz-mn9jc2-3220636801,,72,HAS_CARD_CAN_UPDATE
jz-ub82eq-4780179559,,66,HAS_CARD_CAN_UPDATE
jz-ydp9z9-2908484018,,79,HAS_CARD_CAN_UPDATE
LZ01-2602456066,,75,HAS_CARD_CAN_UPDATE
LZ01-3579731718,,72,HAS_CARD_CAN_UPDATE
GYS-8jlgyl-3010446590,,77,HAS_CARD_CAN_UPDATE
GYS-fq6f2z-3011630658,,43,HAS_CARD_CAN_UPDATE_PROCESSING
GYS-pun1uz-3781684625,,63,HAS_CARD_CAN_UPDATE
GYS-pun1uz-4467285120,,78,HAS_CARD_CAN_UPDATE
GYS-vhijp3-3456092635,,69,HAS_CARD_CAN_UPDATE
GYS260905hopl-3457510653,,79,HAS_CARD_CAN_UPDATE
jz-260807i2zt-1912292054,,79,HAS_CARD_CAN_UPDATE
jz-93mo1m-5001857878,,60,HAS_CARD_CAN_UPDATE
jz-a4wnxu-2968195412,,70,HAS_CARD_CAN_UPDATE
jz-dh3dbz-4248790101,,63,HAS_CARD_CAN_UPDATE
jz-mn9jc2-3457510653,,77,HAS_CARD_CAN_UPDATE
jz-ydp9z9-3307533196,,62,HAS_CARD_CAN_UPDATE
LZ01-3503220298,,73,HAS_CARD_CAN_UPDATE_ERRORS
LZ01-3629185618,,76,HAS_CARD_CAN_UPDATE
SF2608248fhz-3588707779,,63,HAS_CARD_CAN_UPDATE_ERRORS
jz-260811rdkx-2623930433,,44,HAS_CARD_CAN_UPDATE_ERRORS
jz-2nf96y-4261096715,,64,HAS_CARD_CAN_UPDATE
jz-43c4a1-4409428297,,74,HAS_CARD_CAN_UPDATE
jz-tar3ab-3978474361,,75,HAS_CARD_CAN_UPDATE
jz-tar3ab-4097510358,,78,HAS_CARD_CAN_UPDATE
jz-tar3ab-4306956180,,68,HAS_CARD_CAN_UPDATE_ERRORS
LZ01-3467007723,,63,HAS_CARD_CAN_UPDATE
SF2608248fhz-3588812560,,64,HAS_CARD_CAN_UPDATE_ERRORS
SF2608248fhz-3671566844,,64,HAS_CARD_CAN_UPDATE_ERRORS
3118891824-ZQeB,,72,HAS_CARD_CAN_UPDATE
3216743242-q3Ao,,74,HAS_CARD_CAN_UPDATE
3282288781-9po0,,74,HAS_CARD_CAN_UPDATE
B20260512-002-0004R,,73,HAS_CARD_CAN_UPDATE
GYS-fq6f2z-1679789612,,45,HAS_CARD_CAN_UPDATE_PROCESSING
GYS-pun1uz-3920739455,,72,HAS_CARD_CAN_UPDATE
GYS-pun1uz-4404504422,,68,HAS_CARD_CAN_UPDATE
GYS-pun1uz-4653186758,,74,HAS_CARD_CAN_UPDATE
jz-43c4a1-4609221440,,61,HAS_CARD_CAN_UPDATE
jz-63ha0a-3071109073,,45,HAS_CARD_CAN_UPDATE_PROCESSING
jz-dh3dbz-4231938258,,75,HAS_CARD_CAN_UPDATE
jz-mn9jc2-5325473409,,77,HAS_CARD_CAN_UPDATE
jz-ydp9z9-4146377526,,45,HAS_CARD_CAN_UPDATE
LZ-5wxmmp-4932040730,,45,HAS_CARD_CAN_UPDATE_PROCESSING
LZ01-3405464666,,77,HAS_CARD_CAN_UPDATE
LZ01-3411426486,,70,HAS_CARD_CAN_UPDATE
QZBHONG,,65,HAS_CARD_CAN_UPDATE
2025906111-kaUz,,63,HAS_CARD_CAN_UPDATE
GYS-3027189554,,74,HAS_CARD_CAN_UPDATE
GYS-fq6f2z-1679790067,,46,HAS_CARD_CAN_UPDATE_PROCESSING
GYS-nznb1s-2811812904,,60,HAS_CARD_CAN_UPDATE
GYS-nznb1s-3190708134,,58,HAS_CARD_CAN_UPDATE
GYS260829u5hc-5639920360,,79,HAS_CARD_CAN_UPDATE_ERRORS
GYS260829u5hc-5639954557,,79,HAS_CARD_CAN_UPDATE_ERRORS
GYS260905hopl-3457424224,,72,HAS_CARD_CAN_UPDATE_ERRORS
jz-260816bapr-2505164164,,78,HAS_CARD_CAN_UPDATE_ERRORS
jz-bl4yse-4532615274,,64,HAS_CARD_CAN_UPDATE
jz-dyo0tp-4105697344,,73,HAS_CARD_CAN_UPDATE
jz-hx866g-3520097565,,75,HAS_CARD_CAN_UPDATE
jz-hx866g-3554887522,,75,HAS_CARD_CAN_UPDATE
jz-tar3ab-3755092529,,75,HAS_CARD_CAN_UPDATE_ERRORS
LZ-f2484t-5213284651,,46,HAS_CARD_CAN_UPDATE_PROCESSING
LZ01-2104735840,,46,HAS_CARD_CAN_UPDATE
2834263883-xx9p,,63,HAS_CARD_CAN_UPDATE
2888311204-kc2Y,,66,HAS_CARD_CAN_UPDATE
GYS-fq6f2z-3811952275,,47,HAS_CARD_CAN_UPDATE_PROCESSING
GYS-vhijp3-4281165900,,72,HAS_CARD_CAN_UPDATE
GYS-vhijp3-4281166066,,72,HAS_CARD_CAN_UPDATE
jz-260608nw14-4263895303,,79,HAS_CARD_CAN_UPDATE
jz-2607281n44-3372240107,,73,HAS_CARD_CAN_UPDATE
jz-2nf96y-4535688933,,65,HAS_CARD_CAN_UPDATE
jz-43c4a1-4160141158,,75,HAS_CARD_CAN_UPDATE
jz-gjoym9-1595791996,,67,HAS_CARD_CAN_UPDATE
jz-gxi10h-769385871,,63,HAS_CARD_CAN_UPDATE
jz-gxi10h-769388082,,63,HAS_CARD_CAN_UPDATE
jz-h9kp0m-2245932773,,69,HAS_CARD_CAN_UPDATE
jz-ra4xyb-4645750806,,77,HAS_CARD_CAN_UPDATE
jz-tar3ab-3767636075,,71,HAS_CARD_CAN_UPDATE
jz-v6j4ej-4857882655,,79,HAS_CARD_CAN_UPDATE
LZ-00mkoz-3198759653,,47,HAS_CARD_CAN_UPDATE_PROCESSING
LZ01-3408879387,,76,HAS_CARD_CAN_UPDATE
YCXP-l342yy-3198759653,,47,HAS_CARD_CAN_UPDATE_PROCESSING
2395238637-YjOH,,76,HAS_CARD_CAN_UPDATE
2627544436-BuYA,,60,HAS_CARD_CAN_UPDATE
2876990874-p2A1,,72,HAS_CARD_CAN_UPDATE
GM01-4265734803,,75,HAS_CARD_CAN_UPDATE_ERRORS
GYS-8jlgyl-5123964207,,78,HAS_CARD_CAN_UPDATE
GYS-8jlgyl-5393650540,,76,HAS_CARD_CAN_UPDATE
GYS-pun1uz-4340995899,,78,HAS_CARD_CAN_UPDATE
jz-260815v031-311932891,,69,HAS_CARD_CAN_UPDATE
jz-2nf96y-3798902520,,65,HAS_CARD_CAN_UPDATE
jz-93mo1m-5001837159,,48,HAS_CARD_CAN_UPDATE
jz-93mo1m-5023243114,,75,HAS_CARD_CAN_UPDATE
jz-93mo1m-5023414001,,75,HAS_CARD_CAN_UPDATE
jz-93mo1m-5023452799,,75,HAS_CARD_CAN_UPDATE
jz-fq6fzb-3761980623,,74,HAS_CARD_CAN_UPDATE
jz-mn9jc2-3372111782,,71,HAS_CARD_CAN_UPDATE
jz-mn9jc2-4280068659,,78,HAS_CARD_CAN_UPDATE
jz-r0nm0c-3906906270,,77,HAS_CARD_CAN_UPDATE
LZ-00mkoz-2992061228,,48,HAS_CARD_CAN_UPDATE_PROCESSING
LZ-o5ajbj-5303279152,,77,HAS_CARD_CAN_UPDATE
SF2608248fhz-3980709074,,68,HAS_CARD_CAN_UPDATE_ERRORS
WSJBJNINE,,74,HAS_CARD_CAN_UPDATE_ERRORS
WSJBJSEVEN,,76,HAS_CARD_CAN_UPDATE_ERRORS
WSJBJTHIRTEEN,,76,HAS_CARD_CAN_UPDATE_ERRORS
WSJBJTHREE,,75,HAS_CARD_CAN_UPDATE_ERRORS
YCXP-l342yy-2992061228,,48,HAS_CARD_CAN_UPDATE_PROCESSING
2926949736-nJ5T,,66,HAS_CARD_CAN_UPDATE
3068578765-nBcq,,73,HAS_CARD_CAN_UPDATE_ERRORS
GYS-fq6f2z-2491004374,,71,HAS_CARD_CAN_UPDATE
GYS-pun1uz-4189396833,,68,HAS_CARD_CAN_UPDATE
jz-260803a2lr-1468004652,,49,HAS_CARD_CAN_UPDATE
jz-2nf96y-4227173297,,70,HAS_CARD_CAN_UPDATE
jz-43c4a1-4374135971,,64,HAS_CARD_CAN_UPDATE
jz-79kd0n-4196907292,,68,HAS_CARD_CAN_UPDATE_ERRORS
jz-tar3ab-4328903874,,70,HAS_CARD_CAN_UPDATE
jz-ydp9z9-4285299126,,74,HAS_CARD_CAN_UPDATE
